Filename,Loop_Area_Mean,Loop_Area_Var,Diacritic_Offset_Mean,Diacritic_Offset_Var,T_Bar_Height_Mean,T_Bar_Height_Var,Word_Spacing_Norm
103.png,0.0839,0.1052,0.6853,1.0,0.0,1.0,0.8399
104.png,0.0903,0.0985,0.697,0.4754,0.0,1.0,0.5563
